web-scraper-order,web-scraper-start-url,title,body
1650413961-1075,https://www.inshorts.com/en/read,"I don't own a home, I stay at friends' places: World's richest man Elon Musk","Elon Musk, the world's richest person with a net worth of over $250 billion, said, ""I don't even own a home right now...I'm literally staying at friends' places."" He added, ""If I travel to the Bay Area, which is where most of Tesla engineering is, I basically rotate through friends' spare bedrooms."" Musk also said, ""I don't have a yacht."""
1650413961-1094,https://www.inshorts.com/en/read,Hyderabad's 216-year-old heritage monument to be reopened for public in May,"The 216-year-old British Residency in Hyderabad will be reopened for the public in May, state Archaeology Minister V Srinivas Goud announced. According to the local heritage activists, since 2013, the monument was undergoing restoration work which was taken up by the World Monuments Fund. Notably, the residency served as a seat of power for the British in Hyderabad before independence."
1650413961-633,https://www.inshorts.com/en/read,Fire breaks out at powerhouse in Ghaziabad; fire tenders rushed to spot,"A fire broke out at Niti Khand Indirapuram's powerhouse on Tuesday. Ghaziabad Police informed that local police, fire department are on the spot and efforts are on to bring the fire under control. In another incident, a fire broke out at a shop in West Delhi's Kirti Nagar furniture market on Tuesday, ANI reported, citing Delhi Fire Service officials."
1650413961-481,https://www.inshorts.com/en/read,"22-yr-old techie's laptop catches fire in Andhra, she suffers 80% burns","A 22-year-old software engineer from Andhra Pradesh suffered around 80% burns after the laptop she was working on triggered a fire, police said. The incident took place on Monday when sparks from Sumalatha's laptop, which was being charged, caused a fire that spread rapidly in her room. As per a preliminary probe, the fire originated from the laptop's charger adapter."
1650413961-1304,https://www.inshorts.com/en/read,Will continue to respond strongly to wilful misconduct: Sequoia,"Sequoia Capital on Sunday said it'll continue to respond strongly to wilful misconduct or fraud. ""We will take tough calls where needed in the interest of doing what is right...We will continue to have zero tolerance towards proven wrongdoing,"" it added. Sequoia is the largest shareholder in fintech firm BharatPe and owns a stake in CoinSwitch and CredAvenue, among others."
1650413961-1200,https://www.inshorts.com/en/read,"Man demands change of Indian flag at Bengaluru station, tags city police","A Twitter user has demanded changing of the Indian flag at the KSR Bengaluru Railway Station. ""The flag appears to be damaged at the top,"" he wrote in his tweet. The Bengaluru Police replied to his tweet saying that they have forwarded his concern to the South Western Railway for any necessary action to be taken."
1650413961-1322,https://www.inshorts.com/en/read,Just 1 or 2 days in office ideal for hybrid work: Harvard Business School study,"Just one or two days in the office is the ideal setup for hybrid work, according to a paper from Harvard Business School. ""Intermediate hybrid work is plausibly the sweet spot...where workers enjoy flexibility and yet aren't as isolated compared to peers who are predominantly working from home,"" it said. ""Hybrid work is associated with improved worker outcomes,"" it added."
1650413961-980,https://www.inshorts.com/en/read,World Bank cuts global growth forecast to 3.2% due to Ukraine war,"World Bank President David Malpass on Monday said the bank has cut its global growth forecast for 2022 from 4.1% to 3.2% owing to the Russia-Ukraine war. Forecasts are being cut for advanced and many developing economies because of spikes in food, energy prices, Malpass said. World Bank is also proposing a new, 15-month crisis financing target of $170 billion."
1650413961-1188,https://www.inshorts.com/en/read,These are all rumours: Jubin Nautiyal on dating Nikita Dutta,"Singer Jubin Nautiyal has said that the reports of him dating actress Nikita Dutta are just rumours. ""Nikita is a very, very dear friend of mine,"" he added. Jubin further said though his parents remained unfazed by the rumours, he had to spend a considerable amount of time explaining to his relatives that he hadn't gotten secretly engaged to Nikita."
1650413961-1268,https://www.inshorts.com/en/read,Wanted to improve quality of sleep: Richa on physical transformation,"Richa Chadha, speaking about her physical transformation, has said, ""I wanted to become healthier, overall. I wanted the quality of my sleep, movement, exercise and mobility to improve."" She further stated, ""Too much exercise can damage your insides and be counter-productive to your effort."" Richa added that rest is ""underrated"" but very important for the body."
1650413961-737,https://www.inshorts.com/en/read,"Sonia meets Prashant Kishor at her residence, 3rd meeting in 1 week","Congress chief Sonia Gandhi on Tuesday again met political strategist Prashant Kishor at her residence in Delhi. This is their third meeting in a week amid reports of Kishor joining Congress ahead of Assembly polls later this year and the Lok Sabha elections in 2024. Senior Congress leaders Digvijaya Singh, KC Venugopal, Ambika Soni and Randeep Surjewala attended the meeting."
1650413961-678,https://www.inshorts.com/en/read,GB Nagar reports 107 new COVID cases; 33 children among those infected,"Gautam Buddha Nagar reported 107 new cases of COVID-19 and zero deaths in the last 24 hours, according to the health bulletin issued on Tuesday. Of the 107 cases, 33 are school students who have tested positive for the virus, PTI quoted Chief Medical Officer Sunil Kumar Sharma as saying. Now, the active COVID-19 cases in the district reached 411."
1650413961-833,https://www.inshorts.com/en/read,Delhi Police arrests 5 of a family over Jahangirpuri violence,"Delhi Police arrested five people and apprehended one minor of the same family in connection with the Jahangirpuri violence that took place in Delhi on the occasion of Hanuman Jayanti. ""My husband ran away...to save his life,"" the wife of an accused said. As many as 23 people have been arrested and two juveniles have been apprehended so far."
1650413961-689,https://www.inshorts.com/en/read,Security situation in J&K is far better than before: DGP,"The Jammu and Kashmir DGP Dilbag Singh said that the security situation in the Union Territory is ""far better than before"". ""The security situation is far better...and counter-insurgency operations are being carried out successfully on a daily basis,"" the DGP said. ""There is no doubt that terror elements are doing their actions but those involved...(are) neutralised soon,"" he added."
1650413961-1198,https://www.inshorts.com/en/read,"I'll buy bulldozer someday, demolish stone-pelters' houses: Pundit Dhirendra","Pundit Dhirendra Krishna Shastri of Bageshwar Dham has reportedly urged Hindus to ""demolish houses of stone-pelters"". ""Wake up, cowards! Demolish the houses of stone-pelters otherwise they'll come for you next,"" he said, adding, ""If they pelt stones at your house, you bulldoze their houses. I'll also buy a bulldozer someday and demolish the houses of those stone-pelters."""
1650413961-1203,https://www.inshorts.com/en/read,"CIA arrests 2 persons with pistol, live cartridges in Mohali",The Crime Investigation Agency (CIA) of Mohali district police arrested two persons and recovered a .315 bore pistol and two live cartridges from them. The accused allegedly came to the city to commit a crime. The police suspect that they could have links with some of the gangs operating in the state. Both the accused belong to the Hoshiarpur district.
1650413961-580,https://www.inshorts.com/en/read,"Cryptocurrency Ponzi scheme busted in Bengaluru, 4 arrested","The Bengaluru Crime Branch arrested four people for their alleged involvement in running a Helium Crypto Token (HNT) through a mobile application. Around ₹15 crore was routed through 44 different bank accounts among other items, the police said. ""₹78 lakh in cash, 44 Digital Signature Certificate tokens, five company seals, mobile phones, and laptops were seized,"" they added."
1650413961-1082,https://www.inshorts.com/en/read,"Was signed as lead in 'Kumkum Bhagya', was very adamant to play it: Mrunal","Actress Mrunal Thakur said she was signed to play the lead role in the television serial 'Kumkum Bhagya' and that she was very adamant to play it. ""I realised it didn't matter because I still won immense popularity...What matters is what impact you leave on audience...whosoever is the lead character...at times, other characters are ones with more drama,"" she added."
1650413961-626,https://www.inshorts.com/en/read,"UP govt allots land, houses to 63 Hindu families displaced from Bangladesh","The Uttar Pradesh government on Tuesday allotted houses, agricultural land and residential plots to 63 Hindu families, displaced from East Pakistan, now called Bangladesh, in the 1970s. A total of 65 families were to be given rehabilitation after the yarn mill they were working in was closed in 1984. ""Your 38-year-long wait is over today,"" CM Yogi Adityanath said."
1650413961-1058,https://www.inshorts.com/en/read,No one realised how big IPL was going to become: Brendon McCullum,"Recalling the first-ever IPL match in 2008, Brendon McCullum said no one realised how big the tournament was going to become. McCullum played for KKR in the first-ever match and scored an unbeaten 158 runs. Talking about his knock, he said, ""It took me eight balls to start."" McCullum remains the only KKR batter to score a century in IPL."
1650413961-740,https://www.inshorts.com/en/read,B'luru Whitefield area to face power cuts from 10 am-5 pm till Thurs,"Bengaluru's Whitefield area will witness power interruptions till Thursday (April 21) due to the cabling work by Bangalore Electricity Supply Company Limited. According to BESCOM, the areas will face power cuts from 10 am to 5 pm. The affected areas include Channasandra, VSR layout, Koralur, Hosahalli, Prithvi Layout, Whitefield Main road, Upkar Layout, Prashanth Layout and Swami Vivekananda Road."
1650413961-871,https://www.inshorts.com/en/read,"Dejected parties taking refuge in vote bank, divisive politics: Nadda","Reacting to Opposition parties' joint statement criticising Centre over incidents of communal violence, BJP President JP Nadda said, Opposition is ""casting aspersions on our hardworking citizens"". Unfortunately, this thrust towards development politics is being bitterly resisted by ""rejected and dejected parties"" which are ""once again taking refuge in vote bank and divisive politics"", he added."
1650413961-748,https://www.inshorts.com/en/read,Chef found part of Depp's finger in kitchen: Doctor on actor's fight with Heard,"Amid Johnny Depp's defamation lawsuit against ex-wife Amber Heard, the actor's doctor said that a chef found part of Depp's finger in the kitchen, where the two were fighting. Depp told hospital workers he cut himself with a knife, the doctor said. Earlier, Depp said Heard threw a vodka bottle at him, which led to the finger getting cut off."
1650413961-735,https://www.inshorts.com/en/read,Tried slowing him down but he went harder: Ponting on McCullum's 158*,"Talking about ex-KKR opener Brendon McCullum's 158* in the first-ever IPL match in 2008, Ricky Ponting who batted at the number three position for KKR in that match said he tried asking McCullum to bat slower. ""McCullum...[went] harder and harder and ended up playing an incredible innings,"" added Ponting. McCullum's 158* comprised 10 fours and 13 sixes."
1650413961-1063,https://www.inshorts.com/en/read,Microsoft joins e-commerce platform Udaan's $225 million debt round,"E-commerce platform Udaan on Monday said Microsoft Corporation has joined its $225 million fundraising through sale of convertible debt. In an email to employees, Udaan CFO Aditya Pande said the firm's plan of mandatorily convertible notes to IPO highlights Udaan's capital strategy's evolution. The notes will be converted into equity when Udaan raises funds next or during its planned IPO."
1650413961-1037,https://www.inshorts.com/en/read,Noida parents protest school fee hike by polishing shoes,A group of parents in Greater Noida on Sunday polished shoes on the roadside as a symbolic gesture to protest against the hike in fees by private schools. The protest comes despite a UP government order that allowed the schools to hike their fees. The protestors have appealed to the CM to withdraw the order to make education more accessible.
1650413961-567,https://www.inshorts.com/en/read,"Nani marks 3yrs of National Award-winning 'Jersey', shares deleted scene","Telugu actor Nani on Tuesday celebrated three years since the release of his National Award-winning film 'Jersey' by sharing a deleted scene from the film. The actor wrote, ""This was one of (director) Gowtam Tinnanuri's favourite but couldn't make it to the cut."" The scene depicts Nani's character being offered money by his wife's father and being called a loser."
1650413961-898,https://www.inshorts.com/en/read,NamasteyNFT to host Web3-based exhibition event in Bengaluru,"NamasteyNFT, a group that claims to support artists and creators, will host a two-day event to be held at Bangalore International Exhibition Centre from May 14 to 15. ""The event will witness a confluence of artists, developers and collectors from Web3,"" said NamasteyNFT spokesperson. The event is expected to have workshops on Web3, cyber security and wallet safety."
1650413961-1117,https://www.inshorts.com/en/read,Sleeper cells trained by police: Kerala BJP Vice President on RSS worker’s killing,"Kerala BJP Vice President KS Radhakrishnan claimed that there are ""sleeper cells"" in the police force receiving training from police and armed forces. His remark came after an RSS worker was killed in Palakkad. ""Primary duty of the state is to protect the life and property of citizens. But a murder happened within the vicinity of the police,"" Radhakrishnan added."
1650413961-886,https://www.inshorts.com/en/read,"RR's Prasidh Krishna and KKR's Aaron Finch involved in verbal fight, video goes viral",RR pacer Prasidh Krishna and KKR opener Aaron Finch were involved in a verbal exchange after the latter got out in their IPL 2022 match on Monday. Krishna was seen giving Finch a send-off after which the Australian said something to him. Finch was dismissed for 58(28) on last ball of KKR's ninth over. Krishna registered bowling figures of 4-0-43-1.
1650413961-695,https://www.inshorts.com/en/read,5 labourers from Bengal suffocate to death at K'taka fish processing unit,"Five labourers from West Bengal suffocated to death at a fish processing unit in Karnataka's Mangaluru. The incident took place when one of them went inside a 20-foot-deep waste water tank to clean it and got stuck. After he screamed for help, other labourers rushed to help him, but failed. Three of the labourers have been hospitalised for further treatment."
1650413961-1021,https://www.inshorts.com/en/read,NASA shares picture of sunrise on Mars,"NASA has shared a picture of the sunrise on Mars captured by its InSight lander. ""On April 10, 2022, the 1198th sol (or Martian day) of its mission, our InSight lander took this photo of Martian dawn on the plains of Elysium Planitia,"" NASA said. InSight is NASA's first mission to study the interior of Mars in depth."
1650413961-656,https://www.inshorts.com/en/read,Karthik can be used as a finisher in the upcoming T20 WC: Gavaskar,"Former India captain Sunil Gavaskar has said that RCB batter Dinesh Karthik can play the finisher's role for India in this year's T20 World Cup. ""He's (Karthik) just changing the complexion of the game with his performance. He's doing the job that you can expect him to do at number 6 or 7 at the (T20) World Cup,"" Gavaskar said."
1650413961-1261,https://www.inshorts.com/en/read,"We need him in India colours asap, he & Bumrah will terrify the Angrez: Tharoor on Umran","Referring to SRH pacer Umran Malik, who clocks 150-kmph mark regularly, Congress MP Shashi Tharoor tweeted, ""We need him in India colours asap. What a phenomenal talent."" He added, ""Blood him before he burns out...Take him to England for the Test match greentop. He and Bumrah bowling in tandem will terrify the Angrez!"" Umran took four wickets against PBKS today."
1650413961-910,https://www.inshorts.com/en/read,The 2nd phase of war has started: Ukraine,"As Russia launched a new offensive in the east of the country, Ukraine said that the second phase of war has started. Ukrainian President Volodymyr Zelenskyy said that a ""very large part of the entire Russian army is now focused on this offensive."" ""No matter how many Russian troops they send there, we will fight,"" he added."
1650413961-513,https://www.inshorts.com/en/read,My parents love that I am wearing a uniform in 'Runway 34': Rakul,"Actress Rakul Preet Singh has said that her parents ""love"" that she is wearing a uniform in her upcoming film 'Runway 34'. ""I have grown up with people in uniform around me,"" she stated. Rakul added her father gives her critical reviews of her films. ""For me, they (her parents) are the public; I get..best reviews from them,"" Rakul said."
1650413961-1052,https://www.inshorts.com/en/read,"Only when Deepika entered my life, she made me appreciate living it: Ranveer","Actor Ranveer Singh said that he had zero work-life balance but things changed for the better. He added, ""I had zero work-life balance for the longest time. It was only when Deepika (Padukone) came into my life that she made me appreciate living it."" ""She sits down with me and goes through my calendar to ensure the same,"" he said."
1650413961-742,https://www.inshorts.com/en/read,Gurugram civic body plans to complete pre-monsoon work by June 30,"The Municipal Corporation of Gurugram has set June 30 as the deadline to complete all the pre-monsoon work in the city, according to an official order. Additional commissioners and joint commissioners have been appointed as nodal officers to prepare for the season. ""We're on track to complete...80-85% of all allotted works for monsoon preparedness this year,"" an official said."
1650413961-749,https://www.inshorts.com/en/read,Bail denied to jeweller who bought jewellery stolen from Sonam's home,"A Delhi court denied bail to a jeweller who allegedly bought jewellery stolen from Bollywood actor Sonam Kapoor's home in Delhi. While rejecting the plea, the court cited police's objection to the bail because some jewellery was yet to be recovered from him. Stolen jewellery worth over ₹1 crore, including 100 diamonds and six gold chains, was recovered from him."
1650413961-1026,https://www.inshorts.com/en/read,Cyrus Sahukar's wife Vaishali Malahara shares wedding pics,"Actor Cyrus Sahukar's wife Vaishali Malahara on Monday shared pictures from their wedding day on Instagram. She wrote, ""With These 7 steps May you become my friend and May I deserve your friendship. May my friendship make me one with you and May your friendship make you one with me."" The couple got married on April 15 in Alibaug."
1650413961-992,https://www.inshorts.com/en/read,"KKR to bowl first against RR, RR make three changes to their playing XI","Kolkata Knight Riders (KKR) captain Shreyas Iyer won the toss and elected to bowl first against Rajasthan Royals (RR) in their IPL 2022 clash on Monday. KKR have made one change to their playing XI, with Shivam Mavi replacing Aman Khan. RR have included Karun Nair, Obed McCoy and Trent Boult in their playing XI."
1650413961-966,https://www.inshorts.com/en/read,Jos Buttler smashes his second hundred of IPL 2022,"Rajasthan Royals (RR) opener Jos Buttler smashed his second hundred of IPL 2022 after reaching the three-figure mark off 59 deliveries against Kolkata Knight Riders (KKR) on Monday. Overall, it was Buttler's third IPL hundred for RR. He is the third cricketer after Virat Kohli and Chris Gayle to smash at least three hundreds for one franchise."
1650413961-918,https://www.inshorts.com/en/read,"Pakistan cutting power supply to houses, industry amid fuel shortage",Pakistan is cutting electricity supply to households and industry as it's not able to afford buying coal or natural gas from overseas. A report said Pakistan's energy costs more than doubled in nine months ending February from last year. Former finance minister Miftah Ismail also shared a post detailing how much power had been cut due to fuel shortages.
1650413961-985,https://www.inshorts.com/en/read,Integrated command-control centre in all smart cities by Aug 15: Puri,"Housing and Urban Affairs Minister Hardeep Singh Puri on Monday said 80 out of 100 Smart Cities in India have Integrated Command and Control Centres and the remaining cities will get it by August 15. ""Work has started in almost all government-funded projects [under] the Smart Cities Mission (SCM) and [the] projects...will be completed by next year,"" Puri added."
1650413961-993,https://www.inshorts.com/en/read,"If philanthropy is love of humanity, my companies are philanthropy: Musk","World's richest man Elon Musk said SpaceX, Tesla, Neuralink and The Boring Company, the companies that he has founded, are philanthropy. ""If you say philanthropy is love of humanity, they are philanthropy,"" Musk added. Asked about his views on billionaire philanthropy, he said, ""If you care about reality of goodness instead of the perception of it, philanthropy is extremely difficult."""
1650413961-726,https://www.inshorts.com/en/read,"MP man uses abusive words, mimics PM Modi, Amit Shah; arrested","A 38-year-old man has been arrested in Madhya Pradesh's Jabalpur for allegedly mimicking and using abusive words against PM Narendra Modi and Union Home Minister Amit Shah, police said. This comes after a video of the accused performing a mimicry of PM Modi and Shah's walking style went viral. Following this, right-wing organisations had filed a complaint."
1650413961-1332,https://www.inshorts.com/en/read,Connivance between SDPI and CPI(M): Kerala BJP Vice President,"The Vice President of BJP's Kerala unit, KS Radhakrishnan, has alleged that there is some ""sort of connivance between SDPI and CPI(M)"". ""The state government acts like the policemen in old Hindi films. There is a sort of connivance between SDPI and CPI(M),"" Radhakrishnan said by referring to the alleged murder of an RSS worker on Saturday."
1650413961-548,https://www.inshorts.com/en/read,Coach Toni Nadal doesn't want me to play like nephew Rafael: Auger-Aliassime,"World number nine Felix Auger-Aliassime said his coach Toni Nadal, Rafael Nadal's uncle and former coach, isn't trying to make him play like his nephew. ""We've been together for more than a year now working...things are going good...he (Toni) adapted to the player he's working with,"" he added. Auger-Aliassime will face Carlos Taberner in Barcelona Open second round on Wednesday."
1650413961-771,https://www.inshorts.com/en/read,"Woman returning home from work crushed by BBMP garbage truck, dies",A 40-year-old woman bank employee who was returning home from work on Monday was crushed by Bruhat Bengaluru Mahanagara Palike's garbage truck in Bengaluru. The woman was returning from work on a scooter when the garbage truck knocked her down from behind and ran her over. Police have shifted the woman's body to the Victoria Hospital on Mysuru road.
1650413961-501,https://www.inshorts.com/en/read,Sri Lankan PM offers to hold talks with anti-govt protesters,"Sri Lankan PM Mahinda Rajapaksa on Tuesday offered to hold talks with anti-government protesters amid a severe economic crisis in Sri Lanka. Earlier, the protesters had said that they would only leave if PM Rajapaksa and President Gotabaya Rajapaksa step down. Notably, the opposition has threatened to bring a no-confidence motion against the government over its handling of the crisis."
1650413961-764,https://www.inshorts.com/en/read,No safe corridors agreed for third straight day: Ukraine Dy PM,"Ukraine's Deputy PM Iryna Vereshchuk on Tuesday said that the country was for the third straight day unable to secure Russia's agreement to establish any humanitarian corridors to evacuate trapped civilians. She added that ""difficult negotiations"" were taking place to try to arrange humanitarian corridors in the southern region of Kherson and in the Kharkiv region of eastern Ukraine."
1650413961-1104,https://www.inshorts.com/en/read,"L&T Infotech, Mindtree may merge into a $22 billion firm: Report","Larsen & Toubro is considering a merger between its publicly traded software firms, Larsen & Toubro Infotech and Mindtree, to create a $22 billion firm, Bloomberg reported. The boards of the two companies could consider share swap ratios for the merger as early as next week. L&T acquired Mindtree in 2019 and holds about a 61% stake in the company."
1650413961-1024,https://www.inshorts.com/en/read,"Tusshar congratulates Ranbir-Alia, says 'It was private wedding which I respect'","Tusshar Kapoor on Monday congratulated the newlywed Bollywood couple Ranbir Kapoor and Alia Bhatt. ""Very nice pictures, very natural. It was a private wedding which [I] respect,"" he said while talking to the media. ""My best wishes from the family because Chintu Ji (Rishi Kapoor) was my father's (Jeetendra) close friend. So hearty wishes to them from...entire family,"" Tusshar added."
1650413961-1328,https://www.inshorts.com/en/read,Kuldeep wasn't able to get many opportunities at KKR: Ponting,"Delhi Capitals head coach Ricky Ponting has said that DC spinner Kuldeep Yadav was ""unable to get"" opportunities at Kolkata Knight Riders. ""Kuldeep is really thriving in the environment that we...(have created) around him. Obviously at KKR...with the quality of spinners they had...he was unable to get the opportunity that he should have got,"" Ponting said."
1650413961-1155,https://www.inshorts.com/en/read,Shanghai reports first COVID-19 deaths since start of lockdown,"Shanghai has reported the first COVID-19 deaths since the start of its weeks-long lockdown.
Three people died on Sunday, according to Shanghai's municipal government. They were aged between 89 and 91, had underlying diseases and were all unvaccinated, according to reports. Shanghai reported more than 22,000 COVID-19 cases on Sunday."
1650413961-792,https://www.inshorts.com/en/read,IMD predicts cloudy sky with light rain in Delhi on Wednesday and Thursday,"Following heatwave conditions on Tuesday, the IMD has predicted a ""generally cloudy sky with light rain or drizzle"" in Delhi on Wednesday and Thursday. The maximum temperature is likely to decrease from 42°C on Tuesday to 41°C on Wednesday and 39°C on Thursday. The IMD has predicted thunderstorm and lightning over Western Himalayan region and adjoining plains during April 19-21."
1650413961-860,https://www.inshorts.com/en/read,"CoinDCX doubles valuation to $2.15 bn, becomes India's most valuable crypto company",CoinDCX has raised $135.9 million in a funding round led by Pantera Capital and Steadview Capital. This led to its valuation being doubled to $2.15 billion in eight months to become the most valued cryptocurrency trading platform in India. CoinDCX plans to use its fund to increase its employees from 400 to 1000 by the end of next year.
1650413961-544,https://www.inshorts.com/en/read,Germany probing displays of support for Russia's invasion of Ukraine,Police across several states in Germany on Monday reportedly opened over 140 investigations into public displays of support for Russia's invasion of Ukraine which began on February 24. Most investigations are looking into the use of the symbol 'Z' which has been associated with the invasion after being seen on many of the vehicles used by Russian troops in Ukraine.
1650413961-1013,https://www.inshorts.com/en/read,Turkey launches military operation against Kurdish militants in Iraq,"Turkey on Monday announced the launch of a new ground and air cross-border military operation against Kurdish militants in northern Iraq. The jets successfully struck shelters, bunkers, caves, tunnels, ammunition depots and headquarters belonging to the militants, the Turkish Defence Minister said. At least 19 Kurdish militants were killed and about four Turkish soldiers were injured, he added."
1650413961-716,https://www.inshorts.com/en/read,Odisha hikes daily dietary expenses of prisoners from ₹64 to ₹80,"The dietary expense of prisoners in Odisha has been increased from ₹64 to ₹80 per day, the state government said in an official statement on Monday. While the government has also approved the inclusion of Jail Hospitals under the Niramaya Scheme, the user credentials have been generated for 32 Jail Headquarter Hospitals in E-Niramaya Software."
1650413961-1238,https://www.inshorts.com/en/read,WHO chief Tedros to be on 3-day Gujarat visit from Monday,"Tedros Adhanom Ghebreyesus, the Director-General of the World Health Organization (WHO), will be on a three-day visit to Gujarat starting Monday. During his visit, he would take part in a few events along with PM Narendra Modi, officials said. He'll join the PM on Tuesday in Jamnagar for the foundation stone-laying programme of the WHO Global Centre for Traditional Medicine."
1650413961-514,https://www.inshorts.com/en/read,Actor Bob Odenkirk honoured with the Hollywood Walk of Fame star,"Actor Bob Odenkirk has been honoured with the Hollywood Walk of Fame star on Monday. Jonathan Banks, Patrick Fabian, Tony Dalton, Giancarlo Esposito, Patrick Fabian, and Michael Mando attended the ceremony. The actor is known for his work in 'Breaking Bad', 'Better Call Saul'. Bob's star was placed next to Bryan Cranston, who was Bob's co-star in 'Breaking Bad'."
